ID,Program of Study,Gender,Nationality,Place of Birth,My current semester is:,Father's Education,Mother's Education,Parental Income,Any close family member with the same profession available for guidance,Availing any scholarship,I opted for this program of study because of my own interest.,Basic Education Stream,Intermediate Stream,Matric Percentage ,Intermediate Percentage ,SGPA in BS First semester ,SGPA in BS Second semester ,PredictedSGPA of BS Third semester ,Predicted Grade (based on SGPA) of 3rd semester,PredictedCGPA of BS third sem.,Predicted Grade (based on CGPA) of 3rd semester,I understand the lecture more clearly if delivered in:,I understand the lecture more clearly if delivered on:,I understand the lecture more clearly if my sitting place is in:,I understand the lecture more clearly if the duration is:,I understand the lecture more clearly if delivered by:,I understand the lecture more clearly if the number of students in classroom are:,I understand the lecture more clearly if:,Lecture attendance has a positive effect on my academic performance.,TVFs often reschedule classes that negatively impacts my performance.,TVFs are very difficult to access after class timings and hence I am unable to clarify my concepts.,TVFs do not provide assessment results timely so I remain unaware of my standing in class.,TVFs are not aware of the university's curriculum and other requirements.,TVFs grade students according to their own beliefs and criteria and hence my GPA suffers.,TVFs are not very well prepared for the lectures due to their busy schedule.,TVFs have short-term relations with students and hence do not show sincere behavior to polish my academic skills. ,What is your residence place?,An ample amount of time is consumed on daily commuting and all energy is drained during travelling.,"Due to class/ lab cancellation or roads blockage, lots of time get wasted due to fixed official transport timings.",Hostelite can be more focused towards their studies whereas a day scholar may have a lot of distractions due to family issues.,"Hostelites have more opportunities to engage with their peers and participate in social events, that improve their performance.","Hostelites have better access to campus resources like libraries, instructors, labs and also get benefit of group study. ",Hostelites have a big social circle and connections with seniors who can guide them in studies and in other academic and administrative issues.,Un-announced quizzes are quite stressful and cause unnecessary anxiety and pressure on students.,Un-announced quizzes are a form of torture and have negative impact on learning environment.,I am not usually prepared for surprise quizzes and hence these are not true measures of my knowledge and understandings.,Un-announced quizzes are a waste of time and energy and are not effective and productive in the long term.,I cannot miss a single class despite my health or any other emergency situations due to unannounced quizzes as it badly effects my grade.,"I usually do not perform very well in surprise quizzes, hence lose my interest in the subject.","Due to overall academic workload, it is not possible to study/ practice each subject on daily basis, to prepare myself for unannounced quizzes.",Class Representative (CR) is favored more than any ordinary student as he/ she is in more contact with teachers.,"If a student is more active in class, then it is more likely that the teacher would be lenient during his/ her exam checking. ","Some teachers show more kindness towards female students, and it is clearly reflected in their grades. ",Preferential treatment with selective students creates a negative classroom environment and affects the learning experience. ,Discrimination distracts me from focusing on the course and I lose interest in attending the classes. ,"Discrimination negatively effects my mental condition, confidence, and overall engagement in the classroom. ",A proper classroom environment and discipline is not possible to maintain in online environment.,"Due to lack of technical expertise, senior instructors struggle a lot in online lectures, and I lose my interest.",It is difficult to convey complex concepts in online mode and hence quality of education suffers.,"It becomes a hobby to watch recorded lectures later on, so I try to cover a lot of content in a short time that becomes difficult to absorb.",I am easily distracted by social media and other sources of interruptions during online lectures.,"It reduces social interaction that results in a feeling of isolation, and I lose interest in studies.","It is easier for students to cheat in online exams, leading to academic dishonesty and hence I lose my motivation.",Lack of technical resources create disruptions during lectures and make it difficult to understand. ,I prefer to revise the lectures daily or before the next class of the same subject.,I frequently make use of You tube or Chat GPT for understanding of different concepts.,I enjoy and perform well in non-technical (Humanities/ Management/ Social Science) courses.,I am usually well prepared for exams but unable to attempt properly due to exam stress.,Instructors often miss lectures and arrange makeup classes that further increases my burden.,My classes schedule is usually very tight that hinders the process of learning.,I often come across health issues that effect my academic performance.,My preferable mode of study is:,My preferable time of study is:,My overall mobile usage (daily) for non-academic purpose is limited to:,
897,Computer Science,Male,Pakistani,Federal/ Capital,6th,BS,BS,Between 1Lac~2Lac,YES,YES,5,Matric,FSc/ ICS,74,64.9,3.31,3.08,3.74,A,3.37,B,Language does not effect my performance,Mix of both whiteboard and power point,Last row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,3,1,1,1,1,1,1,1,1,5,5,5,5,4,4,1,2,2,3,4,2,3,3,3,5,5,5,5,1,1,1,2,2,2,1,1,1,5,1,5,2,4,3,Independent study,Late night,More than 8 hours,
898,Computer Science,Male,Pakistani,Punjab,6th,BS,BS,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,85.36,77.09,2.35,2.22,2.35,D,2.30,D,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,3,3,4,3,4,4,3,3,1,4,5,4,4,3,4,4,3,4,4,4,4,5,3,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,4,3,4,4,Group study,Late night,5~6 hours,
899,Computer Science,Male,Pakistani,Punjab,6th,Intermediate,Intermediate,Between 30K~50K,NO,NO,3,Matric,FSc/ ICS,84.9,71.63,2.69,2.22,2.43,D,2.44,D,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Male instructor,Not more than 30,I take notes during lecture,3,2,2,2,4,5,3,2,1,5,5,5,5,5,3,4,3,3,4,4,4,4,3,3,3,4,3,3,1,2,4,5,1,3,1,3,4,4,3,5,3,5,3,Independent study,Day time,3~4 hours,
900,Computer Science,Female,Pakistani,Punjab,6th,MS,BS,Between 1Lac~2Lac,NO,NO,3,Matric,FSc/ ICS,79,70,2.6,2.5,2.4,D,2.50,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,4,4,3,4,4,4,4,2,3,3,1,1,1,1,5,5,5,5,5,5,5,5,3,1,5,5,5,5,5,5,1,5,5,5,5,3,5,5,3,5,5,3,Group study,Late night,More than 8 hours,
901,Computer Science,Female,Pakistani,Punjab,6th,BS,PhD/ Doctor,Between 2Lac~3Lac,YES,NO,3,Matric,FSc/ ICS,94.9,85.4,3.49,2.2,2.9,C,2.85,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,1,4,3,3,2,3,3,4,1,4,5,3,4,4,4,3,3,4,2,3,3,3,5,3,5,5,5,5,4,4,4,4,4,4,3,4,3,4,4,3,5,5,3,Independent study,Late night,3~4 hours,
902,Computer Science,Male,Pakistani,Punjab,6th,BS,MS,Between 1Lac~2Lac,YES,NO,4,Cambridge,A-Level,83.11,69.18,2.75,3.31,3.2,B,3.09,B,English,Mix of both whiteboard and power point,First row,1 hour,Female instructor,Not more than 30,I take notes during lecture,2,3,3,3,2,1,1,3,2,1,3,1,5,3,4,5,5,5,5,5,5,5,3,4,1,3,3,5,1,3,3,4,3,3,2,3,3,5,3,4,2,5,3,Independent study,Day time,1~2 hours,
903,Computer Science,Male,Pakistani,Federal/ Capital,6th,MS,BS,Above 3Lac,YES,NO,4,Matric,FSc/ ICS,83,64,1.89,2.11,2.13,D,2.04,D,Mix of both English and Urdu,Power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 40,Only understand the concepts without noting them down,2,2,4,2,2,2,2,2,1,5,5,2,4,4,5,5,5,5,5,4,4,4,3,4,5,4,3,3,2,4,2,4,5,5,3,1,2,5,4,4,5,2,2,Group study,Day time,3~4 hours,
904,Computer Science,Female,Pakistani,International,6th,BS,BS,Between 1Lac~2Lac,NO,NO,4,Cambridge,A-Level,80,75,3.56,3.25,3.24,B,3.35,B,Language does not effect my performance,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,4,3,1,3,3,4,4,1,5,5,5,3,1,5,5,5,5,5,5,5,5,4,2,1,5,5,5,5,4,5,5,5,5,5,5,4,4,4,5,5,4,5,Independent study,Late night,1~2 hours,
905,Computer Science,Male,Pakistani,Federal/ Capital,6th,BS,MS,Between 1Lac~2Lac,YES,NO,3,Matric,FSc/ ICS,89.09,73.81,2.45,2.73,2.59,C,2.59,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,2,2,2,2,2,5,2,2,1,4,3,4,4,5,5,5,5,5,4,5,5,5,3,2,2,4,2,2,5,3,5,5,2,2,4,5,3,5,3,3,3,5,3,Independent study,Late night,3~4 hours,
906,Computer Science,Male,Pakistani,Punjab,6th,Intermediate,Matric,Between 30K~50K,NO,NO,4,Matric,FSc/ ICS,84,80,2.35,2.31,2.94,C,2.53,C,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,2,2,1,1,1,2,1,1,2,2,4,2,4,3,2,5,5,5,5,5,5,5,2,2,3,5,3,2,4,4,5,5,4,4,3,2,3,5,2,3,4,2,2,Group study,Late night,3~4 hours,
907,Computer Science,Male,Pakistani,Punjab,6th,MS,BS,Between 1Lac~2Lac,NO,NO,4,Matric,FSc/ ICS,80,72,2.98,2.7,2.65,C,2.78,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,1,2,2,1,1,2,1,1,1,4,3,3,4,4,3,5,5,4,4,4,4,5,3,1,3,4,4,4,3,2,3,3,2,2,2,3,2,4,3,5,4,5,3,Independent study,Late night,3~4 hours,
908,Computer Science,Male,Pakistani,International,6th,BS,Intermediate,Between 1Lac~2Lac,NO,NO,3,Cambridge,A-Level,77.55,77.72,3.37,3,2.96,C,3.11,B,English,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,2,2,2,2,1,1,1,1,1,4,3,3,4,4,3,4,4,5,4,5,3,5,2,1,3,5,4,5,2,4,4,4,4,4,5,4,4,4,3,2,4,3,3,Group study,Late night,7~8 hours,
909,Electrical Engineering,Female,Pakistani,Punjab,8th,BS,Intermediate,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,89,84,3.44,4,2.8,C,3.43,B,Mix of both English and Urdu,Power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,Notes taking has no relation with my academic performance,5,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,2,5,3,4,3,3,3,Independent study,Late night,1~2 hours,
910,Electrical Engineering,Female,Pakistani,Punjab,8th,MS,MS,Between 2Lac~3Lac,NO,NO,5,Matric,FSc/ ICS,96,92,3.3,3.7,3.33,B,3.45,B,Language does not effect my performance,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,2,2,2,2,2,2,1,1,5,5,4,5,5,5,4,4,3,3,4,3,4,3,3,2,5,4,4,5,4,3,2,4,4,5,3,3,5,4,2,4,4,2,Independent study,Day time,5~6 hours,
911,Electrical Engineering,Female,Pakistani,Punjab,8th,Intermediate,Matric,Between 50K~1Lac,YES,YES,4,Matric,FSc/ ICS,92.34,79.87,3.24,2.78,3.14,B,3.05,B,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Male instructor,Not more than 40,I take notes during lecture,4,3,3,3,2,5,3,3,2,1,2,5,5,5,2,5,5,4,5,5,5,4,4,4,2,4,4,3,2,4,4,5,4,3,4,4,1,4,4,5,5,4,4,Group study,Day time,3~4 hours,
912,Electrical Engineering,Male,Pakistani,Federal/ Capital,8th,Matric,Matric,Between 1Lac~2Lac,NO,NO,4,Matric,FSc/ ICS,87.42,83.33,3.11,2.57,2.11,D,2.60,C,Mix of both English and Urdu,Whiteboard,Middle row,1 hour,Male instructor,Not more than 30,I take notes during lecture,4,3,2,2,2,4,2,2,1,1,4,3,4,4,4,4,4,4,4,4,4,4,2,5,5,5,4,4,2,2,2,2,2,2,1,4,4,5,2,2,4,4,2,Group study,Late night,3~4 hours,
913,Electrical Engineering,Male,Pakistani,KPK,8th,BS,Intermediate,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,89.71,79.36,3.52,2.65,2.98,C,3.04,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,4,3,4,4,4,3,3,1,4,4,2,4,4,4,4,5,3,4,3,4,3,4,4,4,4,3,3,2,2,2,2,2,2,2,4,4,3,2,3,4,3,2,Independent study,Late night,3~4 hours,
914,Electrical Engineering,Female,Pakistani,Punjab,8th,MS,MS,Between 50K~1Lac,NO,NO,2,Matric,FSc/ ICS,92,87,3.1,2.7,2.6,C,2.80,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Male instructor,Number of students does not effect my performance,I take notes during lecture,3,4,3,3,5,5,3,5,1,4,5,5,5,4,5,5,5,5,5,5,5,5,3,3,1,3,3,3,3,5,5,3,2,3,3,3,1,5,3,3,3,3,3,Independent study,Day time,3~4 hours,
915,Electrical Engineering,Male,Pakistani,KPK,8th,Matric,Below Matric,Between 1Lac~2Lac,YES,NO,3,Matric,FSc/ ICS,84.9,86.18,2.83,2.84,2.65,C,2.77,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,5,3,3,2,3,5,3,3,2,3,4,4,4,5,5,5,5,5,5,5,5,5,2,3,4,5,3,3,2,2,2,3,4,2,5,5,5,5,1,4,4,3,3,Independent study,Late night,5~6 hours,
916,Electrical Engineering,Female,Pakistani,Federal/ Capital,8th,BS,BS,Between 50K~1Lac,NO,YES,4,Matric,FSc/ ICS,95,82.5,3.51,3.49,2.55,C,3.19,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Male instructor,Not more than 40,I take notes during lecture,4,5,3,4,4,4,2,2,1,5,5,5,5,5,2,5,5,5,5,5,5,5,4,4,1,5,5,5,2,4,4,5,2,4,4,4,1,5,4,5,4,4,5,Independent study,Day time,More than 8 hours,
917,Electrical Engineering,Female,Pakistani,Federal/ Capital,8th,MS,MS,Between 2Lac~3Lac,YES,NO,5,Matric,FSc/ ICS,96,89,3.19,3.69,3.37,B,3.42,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,4,3,4,4,5,1,5,1,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,1,5,4,5,2,4,4,5,5,4,5,4,2,5,4,5,5,4,4,Independent study,Late night,3~4 hours,
918,Electrical Engineering,Male,Pakistani,International,8th,Intermediate,Matric,Between 1Lac~2Lac,YES,NO,4,Matric,FSc/ ICS,88,81,3.22,3.22,3.33,B,3.26,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,3,4,2,4,4,3,4,2,2,4,4,4,5,5,1,1,3,2,4,3,4,4,5,5,5,4,3,4,5,5,4,4,4,5,4,2,4,2,3,4,4,2,Independent study,Day time,5~6 hours,
919,Electrical Engineering,Male,Pakistani,Punjab,8th,Intermediate,Below Matric,Between 30K~50K,NO,YES,5,Matric,FSc/ ICS,89,83,2.81,2.91,3.53,A,3.08,B,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 40,Notes taking has no relation with my academic performance,3,4,4,2,2,2,2,3,2,2,3,2,2,1,1,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,2,4,1,3,4,3,4,Independent study,Late night,5~6 hours,
920,Electrical Engineering,Male,Pakistani,International,8th,Intermediate,Below Matric,Between 30K~50K,NO,NO,4,Matric,FSc/ ICS,83,90,2.3,2.6,2.95,C,2.62,C,Mix of both English and Urdu,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,5,3,1,1,5,1,1,2,1,2,1,2,3,3,3,3,3,3,3,3,3,3,5,5,5,5,4,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,Group study,Late night,3~4 hours,
921,Electrical Engineering,Female,Pakistani,Federal/ Capital,8th,MS,Matric,Between 1Lac~2Lac,NO,NO,4,Matric,FSc/ ICS,94.5,86,3.07,3.32,3.22,B,3.21,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,4,3,4,4,4,2,4,1,4,4,4,4,4,4,4,4,4,4,5,5,4,1,3,2,4,3,4,5,1,5,2,5,5,5,5,2,5,3,2,5,2,5,Independent study,Day time,3~4 hours,
922,Electrical Engineering,Female,Pakistani,Punjab,8th,Below Matric,Intermediate,Between 1Lac~2Lac,NO,NO,3,Matric,FSc/ ICS,92.72,85.45,3.21,2.47,3.21,B,2.95,C,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,4,4,1,1,1,2,3,3,4,4,4,1,1,1,1,5,4,4,1,1,3,5,4,Independent study,Late night,5~6 hours,
923,Electrical Engineering,Male,Pakistani,Punjab,8th,Matric,Intermediate,Between 30K~50K,NO,NO,5,Matric,FSc/ ICS,92.54,89.09,3.25,3.39,2.43,D,3.03,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,5,3,2,2,2,4,2,4,2,2,4,3,5,3,4,4,3,3,2,3,2,4,5,4,5,5,4,4,4,2,2,2,2,2,4,3,2,5,2,2,3,2,2,Independent study,Late night,3~4 hours,
924,Electrical Engineering,Female,Pakistani,KPK,8th,MS,MS,Above 3Lac,YES,NO,4,Matric,FSc/ ICS,97,87,2.98,3.09,2.98,C,3.02,B,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,3,4,2,2,3,1,1,1,1,4,5,4,4,4,4,5,5,5,5,4,4,5,3,4,4,4,4,4,3,2,3,2,2,2,2,3,3,4,5,3,4,4,3,Independent study,Late night,1~2 hours,
925,Electrical Engineering,Male,Pakistani,Punjab,8th,Intermediate,Matric,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,90.9,88.45,3.28,3.35,3.76,A,3.46,B,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,2,2,4,5,4,4,4,5,2,4,3,4,4,4,4,5,5,5,5,5,5,5,2,3,4,3,4,4,2,4,2,4,4,3,2,4,3,5,1,3,4,3,3,Independent study,Late night,5~6 hours,
926,Electrical Engineering,Male,Pakistani,Punjab,8th,BS,BS,Between 2Lac~3Lac,YES,NO,4,Matric,FSc/ ICS,90.9,87.63,2.93,3.2,2.9,C,3.01,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,2,3,3,2,2,3,3,3,2,5,3,1,4,3,4,5,5,5,3,2,4,4,2,4,5,4,5,5,4,4,4,4,4,4,3,5,1,5,2,5,4,4,3,Group study,Late night,More than 8 hours,
927,Electrical Engineering,Female,Pakistani,KPK,8th,BS,Intermediate,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,86.27,87.63,3.01,3.34,3.75,A,3.37,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,3,4,3,4,4,4,3,3,2,3,3,2,2,2,2,4,4,4,4,4,4,4,2,4,3,5,5,5,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,Group study,Late night,5~6 hours,
928,Electrical Engineering,Male,Pakistani,Punjab,8th,Intermediate,Intermediate,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,95.27,81.45,3.76,3.65,3.84,A,3.75,A,Language does not effect my performance,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,4,2,2,4,2,4,2,2,2,2,3,2,4,4,4,4,4,5,4,4,2,5,2,5,5,5,4,4,4,4,4,2,4,4,5,4,2,4,1,2,4,2,2,Group study,Day time,7~8 hours,
929,Electrical Engineering,Male,Pakistani,Punjab,8th,Matric,Intermediate,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,90,80,3.5,2.6,2.3,D,2.80,C,Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,4,3,2,3,2,3,3,2,2,3,3,2,2,3,2,3,3,2,2,3,4,3,3,2,2,1,Independent study,Day time,5~6 hours,
930,Electrical Engineering,Male,Pakistani,Punjab,8th,MS,BS,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,95,84,3.48,2.7,2,D,2.73,C,Mix of both English and Urdu,Power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,Notes taking has no relation with my academic performance,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Independent study,Day time,1~2 hours,
931,Electrical Engineering,Male,Pakistani,Punjab,8th,BS,BS,Between 30K~50K,NO,NO,4,Matric,FSc/ ICS,94.82,85.72,2.95,2.83,3.1,B,2.96,C,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,2,4,2,2,2,2,2,2,2,2,2,4,3,3,5,4,4,4,4,4,4,2,3,4,3,3,3,5,2,4,4,4,4,3,4,4,5,2,4,2,3,2,Group study,Day time,3~4 hours,
932,Electrical Engineering,Female,Pakistani,Punjab,8th,MS,MS,Above 3Lac,NO,NO,4,Matric,FSc/ ICS,92.52,88.72,3.22,3.61,3.15,B,3.33,B,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,2,1,1,1,2,1,1,1,1,5,5,3,4,5,5,4,4,5,5,5,4,5,1,4,3,4,5,4,4,4,5,2,2,1,5,4,2,4,4,3,2,3,2,Independent study,Day time,1~2 hours,
933,Electrical Engineering,Female,Pakistani,Sindh,8th,BS,BS,Between 1Lac~2Lac,YES,NO,4,Matric,FSc/ ICS,89,85,3.58,3.2,3.46,B,3.41,B,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,3,4,2,2,2,3,3,1,4,4,5,5,5,5,5,4,5,5,4,3,4,1,2,4,4,3,2,5,5,5,4,4,4,5,5,1,5,4,3,4,4,5,Independent study,Day time,1~2 hours,
934,Electrical Engineering,Female,Pakistani,Punjab,8th,PhD/ Doctor,Matric,Between 2Lac~3Lac,NO,NO,1,Matric,FSc/ ICS,85.63,83.8,2.78,2.78,1.98,E,2.52,C,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,3,4,4,3,5,5,3,4,1,4,5,3,4,3,3,5,5,4,5,5,5,5,1,3,3,4,4,4,5,5,5,5,5,4,5,5,2,5,3,4,5,5,4,Group study,Late night,3~4 hours,
935,Electrical Engineering,Male,Pakistani,Federal/ Capital,8th,BS,MS,Between 50K~1Lac,YES,NO,5,Matric,FSc/ ICS,94,89,2.7,2.57,2.86,C,2.71,C,Language does not effect my performance,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,1,1,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,3,4,4,4,4,4,4,5,4,4,4,3,2,3,2,2,Independent study,Late night,3~4 hours,
936,Electrical Engineering,Male,Pakistani,Punjab,8th,MS,Intermediate,Between 2Lac~3Lac,NO,NO,3,Matric,FSc/ ICS,92.18,84.09,2.6,2.6,2.6,C,2.60,C,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,4,3,4,2,4,5,3,3,1,4,3,2,5,4,5,4,5,4,3,4,2,4,2,5,4,4,4,4,5,4,4,2,5,4,4,4,2,5,3,2,5,3,1,Independent study,Late night,5~6 hours,
937,Electrical Engineering,Male,Pakistani,Punjab,8th,Matric,Below Matric,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,92.18,84.3,2.64,2.4,2.67,C,2.57,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 50,Notes taking has no relation with my academic performance,4,3,3,4,3,4,2,2,2,4,3,2,4,4,4,4,4,4,4,4,2,3,3,3,4,3,3,3,2,3,4,2,4,3,3,4,3,4,3,3,4,3,3,Group study,Late night,5~6 hours,
938,Electrical Engineering,Male,Pakistani,Sindh,8th,BS,MS,Between 50K~1Lac,YES,NO,4,Matric,FSc/ ICS,84.6,85.7,3.88,3.83,3.59,A,3.77,A,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,2,3,4,2,3,4,2,4,2,2,3,1,4,4,2,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,4,4,2,4,3,2,4,4,4,Independent study,Late night,3~4 hours,
939,Electrical Engineering,Male,Pakistani,Punjab,8th,Matric,Intermediate,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,85,84,2.67,2.56,2.7,C,2.64,C,Language does not effect my performance,Whiteboard,Sitting place does not effect my performance,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,4,4,3,3,4,2,3,2,3,3,4,2,4,4,4,4,5,4,4,5,4,3,4,4,5,5,3,4,4,4,2,5,5,5,4,4,4,1,4,4,4,5,Independent study,Day time,1~2 hours,
940,Electrical Engineering,Male,Pakistani,Sindh,8th,BS,Intermediate,Between 50K~1Lac,YES,YES,4,Matric,FSc/ ICS,89,85,3.3,2.7,2.4,D,2.80,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,3,3,3,3,3,3,3,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,Group study,Late night,3~4 hours,
941,Electrical Engineering,Male,Pakistani,Sindh,8th,MS,MS,Between 2Lac~3Lac,YES,NO,1,Matric,FSc/ ICS,85,88,3.17,2.33,2.52,C,2.67,C,Mix of both English and Urdu,Whiteboard,Sitting place does not effect my performance,1 hour,Male instructor,Not more than 30,I take notes during lecture,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,2,3,3,3,3,3,2,3,3,3,1,1,1,3,3,3,3,3,3,1,1,3,1,3,1,3,Independent study,Late night,1~2 hours,
942,Electrical Engineering,Male,Pakistani,Punjab,8th,MS,BS,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,90,80,2.7,2.4,1.9,E,2.33,D,Language does not effect my performance,Whiteboard,Sitting place does not effect my performance,1 hour,Female instructor,Not more than 30,Notes taking has no relation with my academic performance,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Independent study,Day time,3~4 hours,
